,Inverse Document Frequency
armring,-0.15415067982725836
armringar,-0.15415067982725836
armringarna,-0.15415067982725836
armstjocka,-0.15415067982725836
armstöden,-0.15415067982725836
armstödet,-0.15415067982725836
armt,-0.15415067982725836
armé,-0.15415067982725836
armén,-0.15415067982725836
arrangerat,-0.15415067982725836
arrendator,-0.15415067982725836
arrende,-0.15415067982725836
arrendegårdar,-0.15415067982725836
arrendera,-0.15415067982725836
arrenderat,-0.15415067982725836
arrest,-0.15415067982725836
arresten,-0.15415067982725836
arrn,-0.15415067982725836
arsskotten,-0.15415067982725836
art,-0.15415067982725836
artat,-0.15415067982725836
artig,-0.15415067982725836
artigaste,-0.15415067982725836
artighet,-0.15415067982725836
artigheter,-0.15415067982725836
artigt,-0.15415067982725836
artillerigården,-0.15415067982725836
artisten,-0.15415067982725836
artisthåret,-0.15415067982725836
arturs,-0.15415067982725836
arv,-0.15415067982725836
arva,-0.15415067982725836
arvedel,-0.15415067982725836
arvegård,-0.15415067982725836
arvet,-0.15415067982725836
arvidstorp,-0.15415067982725836
arvika,-0.15415067982725836
arvingar,-0.15415067982725836
arvinge,-0.15415067982725836
arvingen,-0.15415067982725836
arvklenodera,-0.15415067982725836
arvklenoderna,-0.15415067982725836
arvlös,-0.15415067982725836
arvskifte,-0.15415067982725836
arvskiftet,-0.15415067982725836
arvslott,-0.15415067982725836
arvsrätten,-0.15415067982725836
arvtagare,-0.15415067982725836
arvtagerskan,-0.15415067982725836
asarna,-0.15415067982725836
asberget,-0.15415067982725836
asch,-0.15415067982725836
ascheberg,-0.15415067982725836
aska,-0.15415067982725836
askan,-0.15415067982725836
askedalarna,-0.15415067982725836
asker,-0.15415067982725836
askers,-0.15415067982725836
askersby,-0.15415067982725836
askesens,-0.15415067982725836
askgrå,-0.15415067982725836
askgrått,-0.15415067982725836
askjorden,-0.15415067982725836
askungen,-0.15415067982725836
aslak,-0.15415067982725836
asp,-0.15415067982725836
aspar,-0.15415067982725836
asparna,-0.15415067982725836
aspbark,-0.15415067982725836
aspeboda,-0.15415067982725836
aspen,-0.15415067982725836
aspens,-0.15415067982725836
asplöv,-0.15415067982725836
aspnäs,-0.15415067982725836
assarsson,-0.15415067982725836
assarssons,-0.15415067982725836
assyrerna,-0.15415067982725836
assyriske,-0.15415067982725836
asti,-0.15415067982725836
astrakaner,-0.15415067982725836
astrakanerna,-0.15415067982725836
astrakanträden,-0.15415067982725836
astrar,-0.15415067982725836
astrid,-0.15415067982725836
at,-0.15415067982725836
atenare,-0.15415067982725836
atenaren,-0.15415067982725836
atl,-0.15415067982725836
atlanten,-0.15415067982725836
atle,-0.15415067982725836
atles,-0.15415067982725836
att,-0.15415067982725836
atterdag,-0.15415067982725836
attlämna,-0.15415067982725836
attprosten,-0.15415067982725836
auditör,-0.15415067982725836
auditören,-0.15415067982725836
august,-0.15415067982725836
augusta,-0.15415067982725836
augusti,-0.15415067982725836
augustiafton,-0.15415067982725836
augustinatten,-0.15415067982725836
augustivärmen,-0.15415067982725836
auktion,-0.15415067982725836
auktionen,-0.15415067982725836
auktionens,-0.15415067982725836
auktioner,-0.15415067982725836
auktionerna,-0.15415067982725836
auktionist,-0.15415067982725836
auktionisten,-0.15415067982725836
auktionistens,-0.15415067982725836
auktioniststämma,-0.15415067982725836
auktionsbesökande,-0.15415067982725836
auktionsförrättaren,-0.15415067982725836
auktionsförrättarn,-0.15415067982725836
auktionsmöblerna,-0.15415067982725836
auktionsrummet,-0.15415067982725836
auktionssakerna,-0.15415067982725836
autusti,-0.15415067982725836
av,-0.15415067982725836
avancerat,-0.15415067982725836
avbalkning,-0.15415067982725836
avbildad,-0.15415067982725836
avbildade,-0.15415067982725836
